iso_code,Human_Development,literacy_rate,Continent,country,Income Classification,year,co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_unit_energy,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,population,gdp,primary_energy_consumption,Field_1,Life_expectancy,total_population,Human_Development2,clean_water,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cumulative_co2_per_capita,share_oil_per_capita,share_cement_per_capita,share_coal_per_capita,share_flaring_per_capita,share_gas_per_capita,share_co2_per_capita,gdp_per_capita,difference_co2,share tot,share coal,share cement,share gas,share oil,share other
CHN,0.48,95.1244812,Asia,China,Upper-middle income,2010,8616.653,6.295,5.332,25.84,135384.319,10.09,0.298,7159.477,103918.054,,1992.648,19182.249,3101.279,25.31,16.19,,1.13,4.04,48.44,1368810604,12900000000000,28967.802,10,74.409,1337705000,,,6568.794,639.592,,199.585,1092.572,116.11,9.89065387164403e-05,2.95146749169982e-09,1.84905054987432e-08,1.18277868046089e-08,,8.25534224163564e-10,7.37136311664634e-09,9424.24025815042,730.12,8616.653,0.762337069857635,7.42274291421507e-02,2.31627059834021e-02,0.126797725288462,1.34750697283504e-02
CHN,0.761,95.98268509,Asia,China,,2020,10667.887,7.412,,30.65,235564.013,13.89,,14804.851,177201.99,,6113.508,32685.039,4728.013,34.3,22.48,,2.49,5.52,50.55,1439323774,,,20,,,,94.26111059,7421.101,858.233,,605.254,1611.762,171.539,1.63662976499963e-04,3.83513431773552e-09,2.38306353439e-08,1.56184455548359e-08,,1.72997906723939e-09,9.65036515821492e-09,,177.898000000001,10667.889,0.695648501779499,8.04501246685263e-02,5.6736060902021e-02,0.151085374060416,1.60799385895373e-02
CHN,0.42,95.98268509,Asia,China,Lower-middle income,2005,5876.555,4.416,3.572,19.85,97916.886,8.28,0.28,4425.333,75396.008,,1245.716,14311.327,2507.889,19.61,13.08,,0.85,3.41,48.74,1330776380,8600000000000,21000.495,5,72.985,1303720000,,,4424.39,411.649,,84.957,850.173,105.387,7.35787676063201e-05,2.56241397972513e-09,1.47357589860439e-08,9.82884893102777e-09,,6.3872489230685e-10,6.22193189211849e-09,6462.39302804578,652.8,5876.556,0.752888256318837,7.00493622455057e-02,1.44569370222967e-02,0.144671981344175,1.79334630691854e-02
CHN,0.46,95.98268509,Asia,China,Lower-middle income,2007,6978.612,5.185,4.072,22.16,111384.302,8.95,0.279,5410.4,85591.286,,1478.985,16137.212,2735.806,21.87,14.23,,0.94,3.65,48.37,1345993891,10400000000000,25024.414,7,73.553,1317885000,,,5289.904,514.981,,129.515,927.351,116.861,8.2752457306658e-05,2.71175079203981e-09,1.62482163895646e-08,1.05721133618429e-08,,6.98368697128061e-10,6.64936153116612e-09,7726.63239375728,489.808,6978.612,0.758016637119244,7.37941871535486e-02,1.85588480918555e-02,0.132884734098987,1.67455935363651e-02
CHN,0.54,95.98268509,Asia,China,Upper-middle income,2015,9848.42,7,6.17,27.74,184475.244,12.16,0.283,10831.768,140878.149,,3556.605,25308.092,3870.017,30.61,19.67,,1.7,4.75,49.29,1406847868,16700000000000,34826.942,15,75.928,1371220000,,91.76264123,7266.979,721.995,,366.649,1327.578,165.219,1.3112664716353e-04,3.376342323888e-09,2.17578607440446e-08,1.39816112654478e-08,,1.20837514749676e-09,8.64343634915328e-09,11870.5088018799,-137.163,9848.42,0.73788272636626,7.33107442615161e-02,3.72292205247136e-02,0.134801115305805,1.67761935417052e-02
CHN,0.5322,96.84088898,Asia,China,Upper-middle income,2018,10289.99,7.208,6.504,28.08,214406.137,13.19,0.273,13119.742,162403.219,,4943.652,29529.693,4379.217,32.86,21.37,,2.15,5.19,50.04,1427647789,18200000000000,37714.113,18,76.704,1392730000,,93.33588436,7316.4,786.745,,519.834,1495.473,171.539,1.50181395335737e-04,3.63535042745757e-09,2.30168815118026e-08,1.49686779643099e-08,,1.50597368382154e-09,9.23897343702607e-09,12748.2423467683,369.530999999999,10289.991,0.711021030047548,7.64573069111528e-02,5.05184115321384e-02,0.145332780174443,1.66704713347174e-02
CHN,0.5322,95.98268509,Asia,China,,2019,10489.989,7.316,6.586,28.58,224896.125,13.53,0.266,13946.618,169780.889,,5508.254,31073.277,4556.474,33.58,21.92,,2.32,5.34,50.32,1433783692,,39360.925,19,,,,93.81326727,7377.67,826.876,,564.602,1543.584,177.257,1.56854988834676e-04,3.72441117150048e-09,2.34205481533682e-08,1.52882196403166e-08,,1.61809623930358e-09,9.43656987835233e-09,,,10489.989,0.703305789929808,7.88252494831024e-02,5.38229353720009e-02,0.147148295389061,1.68977298260275e-02
CHN,0.5322,95.98268509,Asia,China,Lower-middle income,2001,3514.934,2.706,2.452,13.81,78398.967,7.32,0.282,2991.916,61038.28,,974.499,11241.877,2121.782,15.7,11.43,,0.77,2.99,50.05,1299129747,6330000000000,12456.115,1,71.732,1271850000,,,2428.857,270.828,,67.158,659.301,88.79,6.03472957039448e-05,2.30154070977485e-09,1.20850130914599e-08,8.79819742900553e-09,,5.92704463721282e-10,5.63454113563609e-09,4872.49253942301,-7152.953,3514.934,0.691010698920663,7.70506643936984e-02,1.91064753989691e-02,0.187571374028645,2.52607872580253e-02
CHN,0.5322,95.98268509,Asia,China,Lower-middle income,2002,3872.595,2.962,2.619,14.87,82271.562,7.5,0.285,3288.506,63817.05,,1028.492,11894.963,2211.938,16.57,11.74,,0.78,3.08,49.66,1307352256,6810000000000,13567.957,2,72.061,1280400000,,,2778.77,296.59,,53.993,653.086,90.156,6.2929911676383e-05,2.35590674652876e-09,1.26744723344096e-08,8.97998220917133e-09,,5.96625734510531e-10,5.73678590875511e-09,5209.00160514964,357.661,3872.595,0.717547277729791,7.65868881202398e-02,1.39423306594157e-02,0.168642990036397,2.32805134541567e-02
CHN,0.5322,95.98268509,Asia,China,Lower-middle income,2003,4545.014,3.456,2.913,16.61,86816.576,7.72,0.288,3633.692,67136.33,,1089.238,12622.062,2304.642,17.56,12.12,,0.8,3.18,49.31,1315303522,7250000000000,15798.685,3,72.381,1288400000,,,3319.28,345.186,,60.745,727.099,92.704,6.60049749338389e-05,2.41769291027566e-09,1.33505306617737e-08,9.21460316746571e-09,,6.08224631515888e-10,5.86936769412832e-09,5512.03572311274,672.419,4545.014,0.730312381876052,7.59482809073855e-02,1.33651953547338e-02,0.159977284998462,2.03968568633672e-02
